%# net.balmeyer.qno.dico.DictionaryCSV					
texte	type	groupe	pluriel	feminin	femininpluriel
guigne	nf				
guigner	v				
guignol	nm				
guilde	nf				
guilledou	nm				
guillemet	nm				
guillemeter	v				
guilleret	adj				
guillotine	nf				
guimauve	nf				
guimbarde	nf				
guimpe	nf				
guindé	adj				
guinée	nf				
guinéen	nm				
guingois (de)	adj				
guinguette	nf				
guipure	nf				
guirlande	nf				
guise	nf				
guitare	nf				
guitariste	nm				
gulden	null				
guru	null				
gustatif	adj				
guttural	adj				
guyanais	nm				
Gy	null				
gym	nf				
gymnase	nm				
gymnaste	nm				
gymnastique	nf				
gymnique	nf				
-gyne	null				
gyn(é)-	null				
gynecée	nm				
gynecologie	nf				
gynecologique	adj				
gynecologue	nm				
gypse	nm				
gyr(o)-	null				
gyrophare	nm				
h	null				
h  (aspiré)	null				
H	null				
ha	null				
ha !	null				
habeas corpus	nm				
habile	adj				
habilement	adj				
habileté	nf				
habilité	nf				
habiliter	v				
habillage	nm				
habillé	adj				
habillement	nm				
habiller	v				
habilleur	nm				
habit	nm				
habitabilité	nf				
habitable	adj				
habitacle	nm				
habitant	nm				
habitat	nm				
habitation	nf				
habitation à loyer modéré	null				
habiter	v				
habitude	nf				
habitué	nm				
habituel	adj				
habituellement	adj				
habituer	v				
hableur	nm				
hache	nf				
haché	nm				
hache-légumes	nm				
hacher	v				
hachette	nf				
hache-viande	nm				
hachis	nm				
hachisch	null				
hachoir	nm				
hachure	nf				
hachurer	v				
hacienda	nf				
hagard	adj				
hagiographe	nm				
hagiographie	nf				
haie	nf				
haillon	nm				
haine	nf				
haineusement	adj				
haineux	adj				
hair	v				
haissable	adj				
haitien	nm				
halage	nm				
hale	nm				
haleine	nf				
haler	v				
haler	v				
haletant	adj				
haletement	nm				
haleter	vi				
hall	nm				
hallali	nm				
halle	nf				
hallebarde	nf				
hallebardier	nm				
hallucinant	adj				
hallucination	nf				
halluciné	nm				
hallucinogène	nm				
halo	nm				
halogène	nm				
halte	nf				
halte !	null				
halte-garderie	nf				
haltère	nm				
haltérophile	nm				
haltérophilie	nf				
hamac	nm				
hamburger	nm				
hameau	nm				
hameçon	nm				
hampe	nf				
hamster	nm				
hanap	nm				
hanche	nf				
hand-ball	nm				
handicap	nm				
handicapé	nm				
handicaper	v				
hangar	nm				
hanneton	nm				
hanter	v				
hantise	nf				
happement	nm				
happer	v				
hara-kiri	nm				
harangue	nf				
haras	nm				
harassement	nm				
harasser	v				
harcèlement	nm				
harceler	v				
hardes	nf				
hardi	adj				
hardiesse	nf				
hardiment	adj				
hardware	nm				
harem	nm				
hareng	nm				
harfang	nm				
hargne	nf				
hargneux	adj				
haricot	nm				
haridelle	nf				
harissa	nf				
harmonica	nm				
harmoniciste	nm				
harmonie	nf				
harmonieusement	adj				
harmonieux	adj				
harmonique	nm				
harmonisation	nf				
harmoniser	v				
harmoniste	nm				
harmonium	nm				
harnachement	nm				
harnacher	v				
harnais	nm				
haro	nm				
harpe	nf				
harpiste	nm				
harpon	nm				
harponnement	nm				
harponner	v				
haruspice	nm				
hasard	nm				
hasarder	v				
hasardeux	adj				
hasch	nm				
haschisch	nm				
hase	nf				
hate	nf				
hater	v				
hatif	adj				
hativement	adj				
hauban	nm				
haubaner	v				
hausse	nf				
haussement	nm				
hausser	v				
haut	nm				
hautain	adj				
hautbois	nm				
hautboïste	nm				
haut-commissaire	nm				
haut-de-chausse(s)	nm				
haut-de-forme	nm				
haut de gamme	nm				
haute-fidélité	nf				
hauteur	nf				
haut fait	nm				
haut-fond	nm				
haut-fourneau	nm				
haut-le-coeur	nm				
haut-le-corps	nm				
haut-parleur	nm				
haut-relief	nm				
havane	nm				
havre	nm				
havresac	nm				
hawaiien	nm				
hayon	nm				
He	null				
he !	null				
heaume	nm				
hebdomadaire	nm				
hebdomadairement	adj				
hebergement	nm				
heberger	v				
hebetement	nm				
hebeter	v				
hebetude	nf				
hebraïque	adj				
hebreu	nm				
H.E.C.	null				
hecatombe	nf				
hectare	nm				
hecto-	null				
hedonisme	nm				
hedoniste	nm				
hegemonie	nf				
hein !	null				
helas !	null				
heler	v				
helice	nf				
heliciculture	nf				
helicoïdal	adj				
helicoptère	nm				
helio-	null				
heliomarin	adj				
heliotrope	nm				
heliotropisme	nm				
heliport	nm				
heliporté	adj				
helium	nm				
hellébore	null				
hellène	nm				
hellénique	adj				
helléniser	v				
hellénisme	nm				
helléniste	nm				
helvète	nm				
helvétique	adj				
helvétisme	nm				
hem !	null				
hema-	null				
hematologie	nf				
hematologique	adj				
hematologiste	nm				
hematome	nm				
hemi-	null				
hemicycle	nm				
hemiplégie	nf				
hemiplégique	nm				
hemisphère	nm				
hemisphérique	adj				
hemistiche	nm				
hemo-	null				
hemoglobine	nf				
hemophile	nm				
hemophilie	nf				
hemorragie	nf				
hendécagone	nm				
henné	nm				
hennin	nm				
hennir	vi				
hennissement	nm				
hep !	null				
hepatique	adj				
hepatite	nf				
hepta-	null				
heptagone	nm				
heraldique	nf				
heraldiste	nm				
heraut	nm				
herbage	nm				
herbe	nf				
herbeux	adj				
herbicide	nm				
herbier	nm				
herbivore	nm				
herboriste	nm				
herboristerie	nf				
herbu	adj				
hercule	nm				
herculéen	adj				
here	nm				
hereditaire	adj				
heredité	nf				
heresie	nf				
heretique	nm				
herisser	v				
herisson	nm				
heritage	nm				
heriter	v				
heritier	nm				
hermaphrodite	nm				
hermétique	adj				
hermétisme	nm				
hermine	nf				
herniaire	adj				
hernie	nf				
heroïne	nf				
heroïnomane	nm				
heroïque	adj				
heroïsme	nm				
heron	nm				
heros	nm				
herpès	nm				
herpétologie	nf				
herpétologiste	nm				
herse	nf				
hertz	nm				
hertzien	adj				
hesitation	nf				
hesiter	vi				
hetaïre	nf				
heter(o)-	null				
heteroclite	adj				
heterodoxe	adj				
heterogène	adj				
heterogénéité	nf				
heterosexualité	nf				
heterosexuel	nm				
hetraie	nf				
hetre	nm				
heu !	null				
heur	nm				
heure	nf				
heure supplémentaire	nf				
heureusement	adj				
heureux	adj				
heuristique	nf				
heurt	nm				
heurter	v				
heurtoir	nm				
hevea	nm				
hex(a)-	null				
hexadécimal	adj				
hexaèdre	nm				
hexagonal	adj				
hexagone	nm				
Hg	null				
hi !	null				
hiatus	nm				
hibernation	nf				
hiberner	vi				
hibiscus	nm				
hibou	nm				
hic	nm				
hideusement	adj				
hideux	adj				
hier	adj				
hierarchie	nf				
hierarchique	adj				
hierarchisation	nf				
hierarchiser	v				
hieratique	adj				
hier(o)-	null				
hieroglyphe	nm				
hi-fi	nf				
hilarant	adj				
hilare	adj				
hilarité	nf				
himalayen	nm				
hindi	nm				
hindou	nm				
hindouisme	nm				
hindouiste	adj				
hippique	adj				
hippisme	nm				
hipp(o)-	null				
hippocampe	nm				
hippodrome	nm				
hippopotame	nm				
hirondelle	nf				
hirsute	adj				
hirsutisme	nm				
hispanique	adj				
hispanisme	nm				
hisse (oh !)	null				
hisser	v				
histamine	nf				
histoire	nf				
histologie	nf				
histologique	adj				
historicité	nf				
historien	nm				
historiette	nf				
historique	nm				
historiquement	adj				
histrion	nm				
hit-parade	nm				
hiver	nm				
hivernal	adj				
hiverner	vi				
H.L.M.  n. m. ou f. inv.	null				
ho !	null				
hobby	nm				
hobereau	nm				
hoc (ad)	null				
hochement	nm				
hocher	v				
hochet	nm				
hockey	nm				
hockeyeur	nm				
hoirie	nf				
hola	nm				
holding	nm				
hold-up	nm				
hollandais	nm				
hollande	nm				
hollywoodien	adj				
holo-	null				
holocauste	nm				
hologramme	nm				
holographe	adj				
holographie	nf				
homard	nm				
homelie	nf				
homeopathe	nm				
homeopathie	nf				
homerique	adj				
homicide	nm				
hominem (ad)	null				
hommage	nm				
homme	nm				
homme-grenouille	nm				
homme-orchestre	nm				
homme-sandwich	nm				
homo-	null				
homogène	adj				
homogénéisation	nf				
homogénéiser	v				
homogénéité	nf				
homographe	adj				
homologation	nf				
homologue	nm				
homologuer	v				
homonyme	nm				
homonymie	nf				
homophone	nm				
homophonie	nf				
homosexualité	nf				
homosexuel	nm				
hongre	nm				
hongrois	nm				
honnête	adj				
honnêtement	adj				
honnêteté	nf				
honneur	nm				
honnir	v				
honorable	adj				
honoraire	nm				
honorer	v				
honorifique	adj				
honoris causa	adj				
honte	nf				
honteusement	adj				
honteux	adj				
hop !	null				
hopital	nm				
hoquet	nm				
hoqueter	vi				
horaire	nm				
horde	nf				
horizon	nm				
horizontal	nf				
horizontalité	nf				
horloge	nf				
horloger	nm				
horloger	adj				
horlogerie	nf				
hormis	null				
hormonal	adj				
hormone	nf				
hormone adrénocorticotrope	nf				
hormonothérapie	nf				
horo-	null				
horodateur	nm				
horoscope	nm				
horreur	nf				
horrible	adj				
horrifier	v				
horripilant	adj				
horripiler	v				
hors	null				
hors-	null				
hors-bord	nm				
hors-concours	adj				
hors-d'oeuvre	nm				
hors-jeu	nm				
hors-la-loi	nm				
hors-texte	nm				
hortensia	nm				
horticole	adj				
horticulteur	nm				
horticulture	nf				
hosanna	nm				
hospice	nm				
hospitalier	adj				
hospitalisation	nf				
hospitaliser	v				
hospitalité	nf				
hostie	nf				
hostile	adj				
hostilement	adj				
hostilité	nf				
hot dog	nm				
hote	nm				
hote	nm				
hotel	nm				
hotel de ville	nm				
hotelier	nm				
hotelier	adj				
hotellerie	nf				
hotte	nf				
hou!	null				
houblon	nm				
houille	nf				
houiller	nf				
houle	nf				
houlette	nf				
houleux	adj				
houppe	nf				
houppelande	nf				
houppette	nf				
hourra	nm				
houspiller	v				
housse	nf				
houx	nm				
hovercraft	nm				
hublot	nm				
huche	nf				
hue!	null				
huee	nf				
huer	v				
huilage	nm				
huile	nf				
huiler	v				
huileux	adj				
huis	nm				
huis clos	nm				
huissier	nm				
huit	nm				
huitaine	nf				
huitième	nm				
huitièmement	adj				
huitre	nf				
huitrier	adj				
hululement	nm				
hululer	vi				
hum !	null				
humain	nm				
humainement	adj				
humanisation	nf				
humaniser	v				
humanisme	nm				
humaniste	nm				
humanitaire	adj				
humanité	nf				
humble	nm				
humblement	adj				
humectage	nm				
humecter	v				
humer	v				
humerus	nm				
humeur	nf				
humide	adj				
humidificateur	nm				
humidification	nf				
humidifier	v				
humidité	nf				
humiliation	nf				
humilier	v				
humilité	nf				
humoriste	nm				
humoristique	adj				
humour	nm				
humus	nm				
hune	nf				
huppe	nf				
huppé	adj				
hure	nf				
hurlement	nm				
hurler	v				
hurluberlu	nm				
hussard	nm				
hutte	nf				
hyacinthe	nf				
hybride	nm				
hydratant	nm				
hydratation	nf				
hydrater	v				
hydraulique	nf				
hydravion	nm				
-hydre	null				
hydre	nf				
hydr(o)-	null				
hydrocution	nf				
hydroélectricité	nf				
hydroélectrique	adj				
hydrofuge	nm				
hydrofuger	v				
hydrogène	nm				
hydroglisseur	nm				
hydromel	nm				
hydrophile	adj				
hyene	nf				
hygiène	nf				
hygiénique	adj				
hygiéniquement	adj				
hygiéniste	nm				
hygro-	null				
hygromètre	nm				
hymen	nm				
hymne	nm				
hyper-	null				
hyperacidité	nf				
hyperbole	nf				
hyperbolique	adj				
hypermarché	nm				
hypermétrope	nm				
hypermétropie	nf				
hypernerveux	nm				
hyperréalisme	nm				
hypersensibilité	nf				
hypersensible	nm				
hypertendu	nm				
hypertension	nf				
hypertrophie	nf				
hypertrophier	v				
hypn(o)-	null				
hypnose	nf				
hypnotique	nm				
hypnotiser	v				
hypnotiseur	nm				
hypnotisme	nm				
hypo-	null				
hypoallergique	nm				
hypocondriaque	nm				
hypocondrie	nf				
hypocrisie	nf				
hypocrite	nm				
hypoglycémie	nf				
hypophysaire	adj				
hypophyse	nf				
hypotendu	nm				
hypotension	nf				
hypoténuse	nf				
hypothalamus	nm				
hypothécaire	adj				
hypothèque	nf				
hypothéquer	v				
hypothèse	nf				
hypothétique	adj				
hystérectomie	nf				
hystérie	nf				
hystérique	nm				
Hz	null				
I	null				
-iatre	null				
iberique	adj				
ibid.	null				
ibidem	null				
ibis	nm				
ibiscus	null				
-ible	null				
iceberg	nm				
icelui	adj				
ichty(o)-	null				
ichtyologie	nf				
ichtyologique	adj				
ichtyologiste	nm				
ici	adj				
icon-	null				
icone	nf				
iconoclaste	nm				
iconographe	nm				
iconographie	nf				
iconographique	adj				
ictere	nm				
id.	null				
-ide	null				
ideal	nm				
idealement	adj				
idealisation	nf				
idealiser	v				
idealisme	nm				
idealiste	nm				
idealité	nf				
ideation	nf				
idee	nf				
idem	null				
identifiable	adj				
identification	nf				
identifier	v				
identique	adj				
identiquement	adj				
identité	nf				
ideo-	null				
ideogramme	nm				
ideologie	nf				
ideologique	adj				
ides	nf				
idio-	null				
idiomatique	adj				
idiome	nm				
idiosyncrasie	nf				
idiot	nm				
idiotement	adj				
idiotie	nf				
idiotisme	nm				
idoine	adj				
idolâtre	nm				
idolâtrer	v				
idolâtrie	nf				
idolâtrique	adj				
idole	nf				
idylle	nf				
idyllique	adj				
i.e.	null				
-ieme	null				
if	nm				
igloo	nm				
ignare	nm				
ign(i)-	null				
ignifugation	nf				
ignifuge	nm				
ignifugeage	nm				
ignifuger	v				
ignoble	adj				
ignoblement	adj				
ignominie	nf				
ignominieusement	adj				
ignominieux	adj				
ignorance	nf				
ignorant	nm				
ignorer	v				
iguane	nm				
il-	null				
il	null				
ile	nf				
iliaque	adj				
illegal	adj				
illegalement	adj				
illegalité	nf				
illegitime	adj				
illegitimement	adj				
illegitimité	nf				
illettré	nm				
illicite	adj				
illicitement	adj				
illico	adj				
illimité	adj				
illisibilité	nf				
illisible	adj				
illisiblement	adj				
illogique	adj				
illogiquement	adj				
illogisme	nm				
illumination	nf				
illuminé	nm				
illuminer	v				
illusion	nf				
illusionner	v				
illusionniste	nm				
illusoire	adj				
illustrateur	nm				
illustration	nf				
illustre	adj				
illustré	nm				
illustrer	v				
ilot	nm				
ilote	nm				
im-	null				
image	nf				
imagé	adj				
imagerie	nf				
imaginable	adj				
imaginaire	nm				
imaginatif	nm				
imagination	nf				
imaginer	v				
imam	nm				
imbattable	adj				
imbecile	nm				
imbecilement	adj				
imbecillité	nf				
imberbe	adj				
imbiber	v				
imbrication	nf				
imbriqué	adj				
imbriquer	v				
imbroglio	nm				
imbu	adj				
imbuvable	adj				
imitable	adj				
imitateur	nm				
imitation	nf				
imiter	v				
immaculé	adj				
immanence	nf				
immanent	adj				
immangeable	adj				
immanquable	adj				
immanquablement	adj				
immatériel	adj				
immatriculation	nf				
immatriculer	v				
immature	adj				
immaturité	nf				
immediat	nm				
immediatement	adj				
immemorial	adj				
immense	adj				
immensément	adj				
immensité	nf				
immerger	v				
immerité	adj				
immersion	nf				
immettable	adj				
immeuble	nm				
immigrant	nm				
immigration	nf				
immigré	nm				
immigrer	vi				
imminence	nf				
imminent	adj				
immiscer (s')	null				
immixtion	nf				
immobile	adj				
immobilier	nm				
immobilisation	nf				
immobiliser	v				
immobilisme	nm				
immobiliste	nm				
immobilité	nf				
immodération	nf				
immodéré	adj				
immodérément	adj				
immodeste	adj				
immodestement	adj				
immodestie	nf				
immolation	nf				
immoler	v				
immonde	adj				
immondice	nf				
immoral	adj				
immoralement	adj				
immoralisme	nm				
immoralité	nf				
immortaliser	v				
immortalité	nf				
immortel	nm				
immotivé	adj				
immuabilité	nf				
immuable	adj				
immuablement	adj				
immunisation	nf				
immuniser	v				
immunité	nf				
immunodépresseur	nm				
immunologie	nf				
immutabilité	nf				
impact	nm				
impair	nm				
impalpable	adj				
imparable	adj				
impardonnable	adj				
imparfait	nm				
imparfait	adj				
imparfaitement	adj				
impartial	adj				
impartialement	adj				
impartialité	nf				
impartir	v				
impasse	nf				
impassibilité	nf				
impassible	adj				
impassiblement	adj				
impatiemment	adj				
impatience	nf				
impatient	nm				
impatiente	nf				
impatienter	v				
impavide	adj				
impayable	adj				
impayé	nm				
impeccable	adj				
impeccablement	adj				
impecunieux	adj				
impecuniosité	nf				
impedimenta	nm				
impenétrabilité	nf				
impenétrable	adj				
impenitent	adj				
impensable	adj				
imper	nm				
imperatif	nm				
imperativement	adj				
imperatrice	nf				
imperceptibilité	nf				
imperceptible	adj				
imperceptiblement	adj				
imperfectible	adj				
imperfection	nf				
imperial	adj				
imperiale	nf				
imperialement	adj				
imperialisme	nm				
imperialiste	nm				
imperieusement	adj				
imperieux	adj				
imperissable	adj				
imperitie	nf				
imperméabilisation	nf				
imperméabiliser	v				
imperméabilité	nf				
imperméable	nm				
impersonnel	adj				
impersonnellement	adj				
impertinemment	adj				
impertinence	nf				
impertinent	nm				
imperturbabilité	nf				
imperturbable	adj				
imperturbablement	adj				
impetigo	nm				
impetueusement	adj				
impetueux	adj				
impetuosité	nf				
impie	nm				
impiété	nf				
impitoyable	adj				
impitoyablement	adj				
implacable	adj				
implacablement	adj				
implant	nm				
implantation	nf				
implanter	v				
implication	nf				
implicite	adj				
implicitement	adj				
impliquer	v				
implorer	v				
imploser	vi				
implosion	nf				
impoli	nm				
impoliment	adj				
impolitesse	nf				
impondérable	nm				
impopulaire	adj				
impopularité	nf				
importance	nf				
important	nm				
importateur	nm				
importation	nf				
importer	v				
import-export	nm				
importun	nm				
importuner	v				
imposable	adj				
imposant	adj				
imposer	v				
imposition	nf				
impossibilité	nf				
impossible	nm				
imposte	nf				
imposteur	nm				
imposture	nf				
impot	nm				
impotence	nf				
impotent	nm				
impraticabilité	nf				
impraticable	adj				
imprécation	nf				
imprécatoire	adj				
imprécis	adj				
imprécision	nf				
imprégnation	nf				
imprégner	v				
imprenable	adj				
imprésario	nm				
imprescriptibilité	nf				
imprescriptible	adj				
impression	nf				
impressionnabilité	nf				
impressionnable	adj				
impressionnant	adj				
impressionner	v				
impressionnisme	nm				
impressionniste	nm				
imprévisibilité	nf				
imprévisible	adj				
imprévoyance	nf				
imprévoyant	adj				
imprévu	nm				
imprimable	adj				
imprimante	nf				
imprimatur	nm				
imprimé	nm				
imprimer	v				
imprimerie	nf				
imprimeur	nm				
improbabilité	nf				
improbable	adj				
improductif	adj				
improductivité	nf				
impromptu	nm				
imprononçable	adj				
impropre	adj				
improprement	adj				
impropriété	nf				
improvisateur	nm				
improvisation	nf				
improviser	v				
improviste (à l')	adj				
imprudemment	adj				
imprudence	nf				
imprudent	nm				
impubère	nm				
impubliable	adj				
impudemment	adj				
impudence	nf				
impudent	nm				
impudeur	nf				
impudicité	nf				
impudique	adj				
impudiquement	adj				
impuissance	nf				
impuissant	adj				
impulsif	nm				
impulsion	nf				
impulsivement	adj				
impulsivité	nf				
impunément	adj				
impunité	nf				
impur	adj				
impureté	nf				
imputabilité	nf				
imputable	adj				
imputation	nf				
imputer	v				
imputrescibilité	nf				
imputrescible	adj				
in	adj				
in-	null				
inabordable	adj				
in absentia	adj				
in abstracto	adj				
inaccentué	adj				
inacceptable	adj				
inaccessibilité	nf				
inaccessible	adj				
inaccoutumé	adj				
inachevé	adj				
inachèvement	nm				
inactif	nm				
inaction	nf				
inactiver	v				
inactivité	nf				
inactuel	adj				
inadaptation	nf				
inadapté	nm				
inadéquat	adj				
inadéquation	nf				
inadmissibilité	nf				
inadmissible	adj				
inadmissible	adj				
inadvertance	nf				
inaliénable	adj				
inaltérable	adj				
inamical	adj				
inamovibilité	nf				
inamovible	adj				
inanimé	adj				
inanité	nf				
inanition	nf				
inaperçu	adj				
inappétence	nf				
inapplicable	adj				
inapplication	nf				
inappréciable	adj				
inapte	adj				
inaptitude	nf				
inarticulé	adj				
inassouvi	adj				
inassouvissement	nm				
inattaquable	adj				
inattendu	adj				
inattentif	adj				
inattention	nf				
inaudible	adj				
inaugural	adj				
inauguration	nf				
inaugurer	v				
inavouable	adj				
inavoué	adj				
inca	adj				
incalculable	adj				
incandescence	nf				
incandescent	adj				
incantation	nf				
incantatoire	adj				
incapable	nm				
incapacité	nf				
incarcération	nf				
incarcérer	v				
incarnat	nm				
incarné	adj				
incarner	v				
incartade	nf				
incassable	adj				
incendiaire	nm				
incendie	nm				
incendier	v				
incertain	nm				
incertitude	nf				
incessamment	adj				
incessant	adj				
incessibilité	nf				
incessible	adj				
inceste	nm				
incestueux	adj				
inchangé	adj				
inchavirable	adj				
incidemment	adj				
incidence	nf				
incident	nm				
incident	nf				
incinérateur	nm				
incinération	nf				
incinérer	v				
incise	nf				
inciser	v				
incisif	adj				
incision	nf				
incisive	nf				
incitation	nf				
inciter	v				
incivil	adj				
incivilité	nf				
incivique	adj				
incivisme	nm				
inclémence	nf				
inclément	adj				
inclinaison	nf				
inclination	nf				
incliner	v				
inclure	v				
inclus	adj				
inclusion	nf				
inclusivement	adj				
incoercible	adj				
incognito	nm				
incohérence	nf				
incohérent	adj				
incollable	adj				
incolore	adj				
incomber	v				
incommensurabilité	nf				
incommensurable	adj				
incommensurablement	adj				
incommode	adj				
incommoder	v				
incommunicabilité	nf				
incommunicable	adj				
incomparable	adj				
incomparablement	adj				
incompatibilité	nf				
incompatible	adj				
incompétence	nf				
incompétent	nm				
incomplet	adj				
incomplètement	adj				
incompréhensibilité	nf				
incompréhensible	adj				
incompréhension	nf				
incompressibilité	nf				
incompressible	adj				
incompris	nm				
inconcevable	adj				
inconciliable	adj				
inconditionnel	nm				
inconditionnellement	adj				
inconduite	nf				
inconfort	nm				
inconfortable	adj				
incongru	adj				
incongruité	nf				
incongrûment	adj				
inconnu	nm				
inconsciemment	adj				
inconscience	nf				
inconscient	nm				
inconscient	nm				
inconséquence	nf				
inconséquent	adj				
inconsidéré	adj				
inconsidérément	adj				
inconsistance	nf				
inconsistant	adj				
inconsolable	adj				
inconsommable	adj				
inconstance	nf				
inconstant	nm				
inconstitutionnalité	nf				
inconstitutionnel	adj				
inconstitutionnellement	adj				
incontestable	adj				
incontestablement	adj				
incontesté	adj				
incontinence	nf				
incontinent	adj				
incontinent	adj				
incontournable	adj				
incontrôlable	adj				
inconvenance	nf				
inconvenant	adj				
inconvénient	nm				
inconvertible	adj				
incoordination	nf				
incorporation	nf				
incorporer	v				
incorrect	adj				
incorrectement	adj				
incorrection	nf				
incorrigible	adj				
incorruptibilité	nf				
incorruptible	nm				
incrédule	nm				
incrédulité	nf				
increvable	adj				
incrimination	nf				
incriminer	v				
incrochetable	adj				
incroyable	nm				
incroyablement	adj				
incroyance	nf				
incroyant	nm				
incrustation	nf				
incruster	v				
incubateur	nm				
incubation	nf				
inculpation	nf				
inculpé	nm				
inculper	v				
inculquer	v				
inculte	adj				
incunable	nm				
incurabilité	nf				
incurable	nm				
incurablement	adj				
incurie	nf				
incursion	nf				
incurver	v				
indecemment	adj				
indecence	nf				
indecent	adj				
indechiffrable	adj				
indecis	nm				
indecision	nf				
indecomposable	adj				
indecrottable	adj				
indefectible	adj				
indefectiblement	adj				
indefendable	adj				
indefini	adj				
indefiniment	adj				
indefinissable	adj				
indefrisable	nf				
indelébile	adj				
indelébilité	nf				
indelicat	adj				
indelicatement	adj				
indelicatesse	nf				
indemaillable	adj				
indemne	adj				
indemnisable	adj				
indemnisation	nf				
indemniser	v				
indemnité	nf				
indemontrable	adj				
indeniable	adj				
indeniablement	adj				
independamment	adj				
independance	nf				
independant	adj				
independantiste	nm				
inderacinable	adj				
indescriptible	adj				
indesirable	nm				
indestructibilité	nf				
indestructible	adj				
indestructiblement	adj				
indeterminable	adj				
indetermination	nf				
indeterminé	adj				
index	nm				
indexation	nf				
indexer	v				
indicateur	nm				
indicateur	nm				
indicatif	nm				
indication	nf				
indice	nm				
indiciaire	adj				
indicible	adj				
indiciblement	adj				
indien	nm				
indienne	nf				
indifféremment	adj				
indifférence	nf				
indifférencié	adj				
indifférent	adj				
indifférer	v				
indigence	nf				
indigène	nm				
indigent	nm				
indigeste	adj				
indigestion	nf				
indignation	nf				
indigne	adj				
indignement	adj				
indigner	v				
indignité	nf				
indigo	nm				
indiquer	v				
indirect	adj				
indirectement	adj				
indisciplinable	adj				
indiscipline	nf				
indiscipliné	adj				
indiscret	nm				
indiscrètement	adj				
indiscrétion	nf				
indiscutable	adj				
indiscutablement	adj				
indispensable	nm				
indisponibilité	nf				
indisponible	adj				
indisposé	adj				
indisposer	v				
indisposition	nf				
indissociable	adj				
indissolubilité	nf				
indissoluble	adj				
indissolublement	adj				
indistinct	adj				
indistinctement	adj				
individu	nm				
individualisation	nf				
individualiser	v				
individualisme	nm				
individualité	nf				
individuel	adj				
individuellement	adj				
indivis	adj				
indivisément	adj				
indivisibilité	nf				
indivisible	adj				
indivision	nf				
indochinois	nm				
indocile	adj				
indocilité	nf				
indo-européen	nm				
indolemment	adj				
indolence	nf				
indolent	nm				
indolore	adj				
indomptable	adj				
indonésien	nm				
in-douze	nm				
indu	adj				
indubitable	adj				
indubitablement	adj				
inducteur	nm				
inductif	adj				
induction	nf				
induire	v				
indulgence	nf				
indulgent	adj				
indument	adj				
industrialisation	nf				
industrialiser	v				
industrie	nf				
industriel	nm				
industriel	adj				
industriellement	adj				
industrieux	adj				
inebranlable	adj				
inedit	nm				
ineffable	adj				
ineffablement	adj				
ineffaçable	adj				
inefficace	adj				
inefficacement	adj				
inefficacité	nf				
inegal	adj				
inegalable	adj				
inegalé	adj				
inegalement	adj				
inegalité	nf				
inelégamment	adj				
inelégance	nf				
inelégant	adj				
ineluctable	adj				
ineluctablement	adj				
inenarrable	adj				
inepte	adj				
ineptie	nf				
inepuisable	adj				
inepuisablement	adj				
inequitable	adj				
inerte	adj				
inertie	nf				
inespéré	adj				
inesthétique	adj				
inestimable	adj				
inevitable	adj				
inevitablement	adj				
inexact	adj				
inexactement	adj				
inexactitude	nf				
inexcusable	adj				
inexcusablement	adj				
inexécutable	adj				
inexistant	adj				
inexistence	nf				
inexorable	adj				
inexorablement	adj				
inexpérience	nf				
inexpérimenté	adj				
inexplicable	adj				
inexplicablement	adj				
inexploité	adj				
inexploré	adj				
inexpressif	adj				
inexprimable	adj				
inexpugnable	adj				
inextensible	adj				
in extenso	adj				
inextinguible	adj				
in extremis	adj				
inextricable	adj				
inextricablement	adj				
infaillibilité	nf				
infaillible	adj				
infailliblement	adj				
infaisable	adj				
infamant	adj				
infame	adj				
infamie	nf				
infant	nm				
infanterie	nf				
infanticide	nm				
infantile	adj				
infantilisme	nm				
infarctus	nm				
infatigable	adj				
infatigablement	adj				
infatué	adj				
infecond	adj				
infect	adj				
infecter	v				
infectieux	adj				
infection	nf				
infeodation	nf				
infeoder	v				
inference	nf				
inferer	v				
inferieur	nm				
inferieurement	adj				
inferiorité	nf				
infernal	adj				
infertile	adj				
infertilité	nf				
infester	v				
infeutrable	adj				
infibulation	nf				
infidèle	nm				
infidèlement	adj				
infidélité	nf				
infiltration	nf				
infiltrer	v				
infime	adj				
infini	nm				
infiniment	adj				
infinité	nf				
infinitésimal	adj				
infinitif	nm				
infirme	nm				
infirmer	v				
infirmerie	nf				
infirmier	nm				
infirmité	nf				
inflammabilité	nf				
inflammable	adj				
inflammation	nf				
inflammatoire	adj				
inflation	nf				
inflationniste	nm				
infléchir	v				
inflexibilité	nf				
inflexible	adj				
inflexiblement	adj				
inflexion	nf				
infliger	v				
influençable	adj				
influence	nf				
influencer	v				
influent	adj				
influenza	nf				
influer	v				
influx	nm				
infographie	nf				
infographique	adj				
in-folio	nm				
informateur	nm				
informaticien	nm				
information	nf				
informatique	nf				
informatisation	nf				
informatiser	v				
informe	adj				
informé	nm				
informel	nm				
informer	v				
infortuné	nm				
infos	nf				
infra	adj				
infra-	null				
infraction	nf				
infranchissable	adj				
infrarouge	nm				
infrastructure	nf				
infroissable	adj				
infructueux	adj				
infus	adj				
infuser	v				
infusion	nf				
infusoire	nm				
ingenierie	nf				
ingenier (s')	null				
ingenieur	nm				
ingenieur-conseil	nm				
ingenieusement	adj				
ingenieux	adj				
ingeniosité	nf				
ingenu	nf				
ingenuité	nf				
ingenument	adj				
ingerence	nf				
